segment_point_id,latitude,longitude,road_code,route_segment,road_type,provincia,is_highway,km_marker,imd_total,imd_light,imd_heavy,pct_heavy,demand_index,imd_station_dist_km,imd_low_confidence,ev_fleet_province_2027,ev_fleet_point_allocated,ev_penetration_rate_2027,estimated_daily_ev_passages,nearest_charger_dist_km,nearest_charger_power_kw,nearest_charger_connections,nearest_fast_charger_dist_km,coverage_gap_flag,coverage_gap_km,available_capacity_mw,available_capacity_kw,nearest_substation_dist_km,distributor_network,grid_low_confidence,estimated_ev_demand_kw,n_chargers_proposed,grid_load_ratio,grid_status,traffic_weighted_demand,composite_priority_score
A31_0054,38.35616,-0.675829,A-31,A-31,AUTOVÍA,ALICANTE/ALACANT,True,0.0,68306,58060.0,10246.0,15.0,97951.0,6.23,False,29797,4618.79,0.3,17418.0,5.554,44000.0,8,5.554,False,0.0,22.59,22590.0,7.382,Viesgo,False,52254.0,12,2.313147,Congested,17418.0,0.417122
A31_0055,39.140947,-2.04464,A-31,A-31,AUTOVÍA,ALICANTE/ALACANT,True,50.0,2541,2160.0,381.0,15.0,1400.0,21.82,True,29797,171.82,0.3,648.0,0.745,2124000.0,40,0.745,False,0.0,18.67,18670.0,70.808,Viesgo,True,1944.0,12,0.104124,Sufficient,648.0,0.256021
A31_0056,39.016516,-1.860925,A-31,A-31,AUTOVÍA,ALICANTE/ALACANT,True,100.0,2541,2160.0,381.0,15.0,12791.0,8.49,False,29797,171.82,0.3,648.0,1.275,143650.0,12,1.275,False,0.0,24.68,24680.0,80.719,Viesgo,True,1944.0,12,0.078768,Sufficient,648.0,0.256041
A31_0057,39.316992,-2.203711,A-31,A-31,AUTOVÍA,ALICANTE/ALACANT,True,150.0,25915,22028.0,3887.0,15.0,178839.0,28.16,True,29797,1752.35,0.3,6608.4,4.975,286000.0,24,4.975,False,0.0,18.67,18670.0,47.567,Viesgo,True,19825.2,12,1.061875,Congested,6608.4,0.313144
A31_0058,38.91447,-1.6374,A-31,A-31,AUTOVÍA,ALICANTE/ALACANT,True,200.0,1717,1459.0,258.0,15.0,7831.0,19.34,False,29797,116.1,0.3,437.7,10.298,472000.0,16,10.298,False,0.0,24.68,24680.0,58.322,Viesgo,True,1313.1,12,0.053205,Sufficient,437.7,0.254019
A32_0059,38.050306,-3.302782,A-32,A-32,AUTOVÍA,JAÉN,True,0.0,6010,5108.0,902.0,15.0,22538.0,24.43,True,4430,406.4,0.3,1532.4,1.888,143650.0,12,1.888,False,0.0,51.53,51530.0,124.473,Endesa,True,4597.2,12,0.089214,Sufficient,1532.4,0.264621
A32_0060,38.030808,-3.348349,A-32,A-32,AUTOVÍA,JAÉN,True,50.0,6010,5108.0,902.0,15.0,22538.0,28.96,True,4430,406.4,0.3,1532.4,1.732,240000.0,8,1.732,False,0.0,51.53,51530.0,120.27,Endesa,True,4597.2,12,0.089214,Sufficient,1532.4,0.264621
A33_0061,38.722543,-0.942415,A-33,A-33,AUTOVÍA,ALICANTE/ALACANT,True,0.0,15531,13201.0,2330.0,15.0,3044.0,0.37,False,29797,1050.19,0.3,3960.3,3.854,88000.0,16,3.854,False,0.0,46.04,46040.0,1.665,Viesgo,False,11880.9,12,0.258056,Sufficient,3960.3,0.288063
A33_0062,38.301911,-1.309076,A-33,A-33,AUTOVÍA,ALICANTE/ALACANT,True,50.0,207,176.0,31.0,15.0,2.0,0.54,False,29797,14.0,0.3,52.8,10.784,2564000.0,112,10.784,False,0.0,24.68,24680.0,40.049,Viesgo,True,158.4,2,0.006418,Sufficient,52.8,0.250319
A35_0063,38.824155,-0.925658,A-35,A-35,AUTOVÍA,VALENCIA/VALÈNCIA,True,0.0,18383,15626.0,2757.0,15.0,6030.0,2.84,False,29703,1243.07,0.3,4687.8,9.366,150000.0,12,9.366,False,0.0,9.47,9470.0,2.676,Viesgo,False,14063.4,12,1.485048,Congested,4687.8,0.294161
