bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
M3_EXCL_205,39.038804,-2.270438,N-430,i-DE,1800,Congested
M3_EXCL_206,39.032784,-3.693573,N-430,i-DE,1800,Congested
M3_EXCL_207,38.995104,-4.250461,N-430,i-DE,1800,Moderate
M3_EXCL_208,39.031765,-5.84408,N-430,i-DE,1800,Congested
M3_EXCL_209,38.976177,-3.937612,N-430C,i-DE,1800,Congested
M3_EXCL_210,37.320201,-7.071708,N-431,Endesa,1800,Congested
M3_EXCL_211,37.257621,-3.765693,N-432,Endesa,1800,Moderate
M3_EXCL_212,37.456421,-6.804349,N-435A,Endesa,1800,Congested
M3_EXCL_213,37.195228,-6.925347,N-442,Endesa,1800,Congested
M3_EXCL_214,38.405668,-3.500677,N-4A,Endesa,1800,Congested
M3_EXCL_215,38.953576,-6.247438,N-5,i-DE,1800,Congested
M3_EXCL_216,40.876367,-5.054784,N-501,i-DE,1800,Congested
M3_EXCL_217,40.870602,-5.017723,N-501,i-DE,1800,Congested
M3_EXCL_218,39.770429,-4.942335,N-502,i-DE,1800,Congested
M3_EXCL_219,39.944351,-4.883401,N-502,i-DE,1800,Congested
M3_EXCL_220,39.963705,-4.920697,N-502,i-DE,1800,Congested
M3_EXCL_221,40.410502,-5.031746,N-502,i-DE,1800,Congested
M3_EXCL_222,39.929117,-4.844318,N-502,i-DE,1800,Congested
M3_EXCL_223,40.206458,-5.042557,N-502,i-DE,1800,Congested
M3_EXCL_224,39.515222,-7.04795,N-521,i-DE,1800,Congested
M3_EXCL_225,39.429783,-6.830117,N-521,i-DE,1800,Congested
M3_EXCL_226,38.925222,-6.938552,N-523,i-DE,1800,Congested
M3_EXCL_227,39.353316,-6.46789,N-523,i-DE,1800,Congested
M3_EXCL_228,42.403838,-5.35416,N-601,Viesgo,1800,Congested
M3_EXCL_229,41.456038,-4.66861,N-601,Viesgo,1800,Congested
M3_EXCL_230,42.095512,-5.210768,N-601,Viesgo,1800,Congested
M3_EXCL_231,41.959119,-5.106805,N-601,Viesgo,1800,Congested
M3_EXCL_232,40.825973,-4.176659,N-603,i-DE,1800,Congested
M3_EXCL_233,42.068832,-5.263449,N-610,i-DE,1800,Congested
M3_EXCL_234,42.401325,-4.366366,N-611,Viesgo,1800,Congested
M3_EXCL_235,41.34931,-5.180529,N-620,i-DE,1800,Congested
M3_EXCL_236,41.483318,-5.041666,N-620,i-DE,1800,Congested
M3_EXCL_237,40.578179,-6.565474,N-620A,i-DE,1800,Congested
M3_EXCL_238,42.087459,-4.134464,N-622,i-DE,1800,Congested
M3_EXCL_239,42.079645,-4.070172,N-622A,i-DE,1800,Congested
M3_EXCL_240,43.37167,-3.428045,N-629,Viesgo,1800,Congested
M3_EXCL_241,43.132279,-3.456022,N-629,Viesgo,1800,Congested
M3_EXCL_242,43.282223,-3.440866,N-629A,Viesgo,1800,Congested
M3_EXCL_243,38.261316,-6.304349,N-630,i-DE,1800,Congested
M3_EXCL_244,39.241251,-6.302219,N-630,i-DE,1800,Congested
M3_EXCL_245,39.585803,-6.463503,N-630,i-DE,1800,Congested
M3_EXCL_246,38.359504,-6.32883,N-630,i-DE,1800,Congested
M3_EXCL_247,43.350387,-3.172092,N-634,Viesgo,1800,Congested
M3_EXCL_248,37.41239,-6.032079,SE-30,Endesa,1800,Congested
M3_EXCL_249,37.370474,-5.865241,SE-40,Endesa,1800,Congested
M3_EXCL_250,41.134364,1.143155,T-11,Endesa,1800,Congested
M3_EXCL_251,39.914242,-4.084663,TO-21,i-DE,1800,Congested
M3_EXCL_252,39.918272,-3.939474,TO-22,i-DE,1800,Congested
M3_EXCL_253,39.4821,-0.458241,V-11,Viesgo,1800,Congested
M3_EXCL_254,39.635705,-0.303646,V-21,Viesgo,1800,Congested
M3_EXCL_255,39.626944,-0.301121,V-23,Viesgo,1800,Congested
M3_EXCL_256,39.514156,-0.477876,V-30,Viesgo,1800,Congested
M3_EXCL_257,41.619027,-0.955112,Z-40,i-DE,1800,Congested
